Unix time (s) ; acc_z (m.s^-2) ; speed_z (m.s^-1) ; pos_z (m)
1535462408.46 ; 0.639222004213 ; -0.0371931243086 ; 0.00330388111563
1535462409.02 ; 0.0357359103395 ; 0.0508773434713 ; 0.00596035893927
1535462409.58 ; -0.367253774039 ; -0.0141195786711 ; 0.0135817601771
1535462410.15 ; 0.407854967768 ; -0.000900259498967 ; 0.00779794694293
1535462410.71 ; -0.456377354905 ; -0.00484888290793 ; 0.00515088641108
1535462411.27 ; 0.429203270815 ; -0.00416380097783 ; 0.00218011038129
1535462411.83 ; -0.170341459138 ; 0.0228848974192 ; 0.00620533578978
1535462412.4 ; -0.0783313766195 ; -0.0156792654077 ; 0.00685953373595
1535462412.96 ; -0.118162989098 ; -0.023648518155 ; -0.00350154621819
1535462413.52 ; 0.778627077797 ; 0.0540282942303 ; 0.00420145678916
1535462414.08 ; -0.909989052774 ; 0.00569474736215 ; 0.0174982323009
1535462414.65 ; 0.529609790918 ; -0.033761475358 ; 0.00800387422654
1535462415.21 ; -0.0635319151917 ; 0.032439197784 ; 0.0063599989926
1535462415.77 ; -0.211263621687 ; -0.0149483277326 ; 0.00939931236241
1535462416.33 ; 0.104619556575 ; -0.0149803900429 ; 0.000818404381909
1535462416.9 ; -0.120014866417 ; -0.00643672225796 ; -0.0043374533256
1535462417.46 ; 0.109477347727 ; -0.00313344008362 ; -0.00585749134207
1535462418.02 ; -0.104796449822 ; -0.000605663705467 ; -0.00575755957675
1535462418.58 ; -0.097519787125 ; -0.0191685607954 ; -0.00943243428219
1535462419.15 ; 0.321762454659 ; 0.0146324813255 ; -0.00892346767559
1535462419.71 ; -0.432559554812 ; -0.00550938214971 ; -0.00529806919755
1535462420.27 ; 0.357783795466 ; -0.00884646530607 ; -0.00777960245268
1535462420.83 ; -0.592591174 ; -0.024961388369 ; -0.0144064927289
1535462421.4 ; 0.672391012048 ; -0.000839468965678 ; -0.0180522917508
1535462421.96 ; -0.514286029596 ; 0.014541991384 ; -0.0118321621099
1535462422.52 ; -0.0977067962186 ; -0.0525252703517 ; -0.0187621981954
1535462423.08 ; 0.52601978737 ; 0.0226447110762 ; -0.0226382104889
1535462423.65 ; -0.391073774481 ; 0.0201989538537 ; -0.00882406597944
1535462424.21 ; -0.0760447177974 ; -0.0370581304046 ; -0.0113046456081
1535462424.77 ; 0.0238884360715 ; -0.0172422040363 ; -0.0221467689281
1535462425.33 ; 0.277428675748 ; 0.0225002756788 ; -0.0172233152291
1535462425.9 ; -0.0440061180743 ; 0.0293825198616 ; -0.00219325304954
1535462426.46 ; -0.503312191929 ; -0.041515656864 ; -0.00467134495108
1535462427.02 ; 0.592446829613 ; -0.00548244918895 ; -0.0149076137334
1535462427.58 ; -0.228590045583 ; 0.0322830638956 ; -0.00614180640315
1535462428.15 ; -0.0859913250407 ; -0.0187297696644 ; -0.00194174926786
1535462428.71 ; 0.355692918298 ; 0.0190406462283 ; -0.00154526448642
1535462429.27 ; -0.21443549106 ; 0.0195893168344 ; 0.0077658701841
1535462429.83 ; 0.00663662805769 ; -0.0129510573553 ; 0.008027375493
1535462430.4 ; 0.110917933812 ; 0.00670321189622 ; 0.00522520845081
1535462430.96 ; 0.0641856173787 ; 0.0186497774184 ; 0.0102962356845
1535462431.52 ; -0.245414207137 ; -0.0107731989427 ; 0.0104262272307
1535462432.08 ; 0.212884244687 ; -0.00664063007977 ; 0.00460731739662
1535462432.65 ; 0.0951051353317 ; 0.0266597022362 ; 0.0085312779001
1535462433.21 ; -0.103239632746 ; 0.00812398284538 ; 0.015261561827
1535462433.77 ; -0.0723677825993 ; -0.0137545310177 ; 0.0113983621583
1535462434.33 ; -0.0171284563932 ; -0.0129748600273 ; 0.00323412528928
1535462434.9 ; 0.418077772935 ; 0.0332630413488 ; 0.00745001993162
1535462435.46 ; -0.410265764513 ; 0.0118200301638 ; 0.0167743186263
1535462436.02 ; -0.0259217907932 ; -0.036951203985 ; 0.00808867721896
1535462436.58 ; 0.149032841962 ; -0.000775676007588 ; -0.00210146701855
1535462437.15 ; 0.0228842011683 ; 0.0158580629637 ; 0.00178358007694
1535462437.71 ; -0.0285667919507 ; 0.0047532988762 ; 0.00631691628698
1535462438.27 ; -0.522705490845 ; -0.0500958758787 ; -0.00536276778565
1535462438.83 ; 0.879631175799 ; 0.0167620797672 ; -0.0122813299508
1535462439.4 ; -0.226264815673 ; 0.0668387167003 ; 0.00935893861191
1535462439.96 ; -0.305069899057 ; -0.0275442262318 ; 0.0170108266951
1535462440.52 ; 0.251420899404 ; -0.0142095442967 ; 0.00439248608425
1535462441.08 ; 0.240600327147 ; 0.0413890870907 ; 0.0100304187094
1535462441.65 ; -0.516362870251 ; -0.0120555870895 ; 0.0152335115111
1535462442.21 ; 0.179243845828 ; -0.0356225400437 ; 0.00152034921759
1535462442.79 ; 0.146398926402 ; 0.0195016674656 ; -0.00261617809192
1535462443.35 ; -0.106968451548 ; 0.0101970703966 ; 0.00478031920856
1535462443.91 ; 0.330669145937 ; 0.0243702968845 ; 0.0120850685
