latitude,longitude,datetime
50.820798488,-1.312535297,2018-08-29T15:11:13.288288
50.820798488,-1.312535297,2018-08-29T15:11:14.291664
50.820798329,-1.312549485,2018-08-29T15:11:15.292287
50.820791362,-1.312549159,2018-08-29T15:11:16.293767
50.820791362,-1.312549159,2018-08-29T15:11:17.295168
50.820791362,-1.312549159,2018-08-29T15:11:18.297067
50.820785683,-1.312549159,2018-08-29T15:11:19.298912
50.820785524,-1.312563347,2018-08-29T15:11:20.300597
50.820785524,-1.312563347,2018-08-29T15:11:21.302506
50.820785524,-1.312563347,2018-08-29T15:11:22.303894
50.820785524,-1.312563347,2018-08-29T15:11:23.307164
50.820772719,-1.312577209,2018-08-29T15:11:24.308616
50.820772719,-1.312577209,2018-08-29T15:11:25.310054
50.820772559,-1.312591396,2018-08-29T15:11:26.311476
50.820772559,-1.312591396,2018-08-29T15:11:27.313285
50.820772559,-1.312591396,2018-08-29T15:11:28.314766
50.820772559,-1.312591396,2018-08-29T15:11:29.316852
50.820772559,-1.312591396,2018-08-29T15:11:30.323112
50.820765593,-1.312591071,2018-08-29T15:11:31.325645
50.820765593,-1.312591071,2018-08-29T15:11:32.327050
50.820765593,-1.312591071,2018-08-29T15:11:33.328419
50.820765433,-1.312605258,2018-08-29T15:11:34.329963
50.820765433,-1.312605258,2018-08-29T15:11:35.331431
50.820758467,-1.312604932,2018-08-29T15:11:36.332815
50.820752788,-1.312604932,2018-08-29T15:11:37.337212
50.820752788,-1.312604932,2018-08-29T15:11:38.342554
50.820752788,-1.312604932,2018-08-29T15:11:39.345828
50.820752788,-1.312604932,2018-08-29T15:11:40.349515
50.820752629,-1.31261912,2018-08-29T15:11:41.351209
50.820752629,-1.31261912,2018-08-29T15:11:42.353331
50.820752629,-1.31261912,2018-08-29T15:11:43.355486
50.820739984,-1.312618794,2018-08-29T15:11:44.357487
50.820739984,-1.312618794,2018-08-29T15:11:45.359892
50.820739984,-1.312618794,2018-08-29T15:11:46.363504
50.820739984,-1.312618794,2018-08-29T15:11:47.365303
50.820739984,-1.312618794,2018-08-29T15:11:48.371593
50.820739984,-1.312618794,2018-08-29T15:11:49.372162
50.820739984,-1.312618794,2018-08-29T15:11:50.375995
50.820739984,-1.312618794,2018-08-29T15:11:51.377499
50.820734145,-1.312632981,2018-08-29T15:11:52.379058
50.820734145,-1.312632981,2018-08-29T15:11:53.380957
50.820734145,-1.312632981,2018-08-29T15:11:54.382589
50.820734145,-1.312632981,2018-08-29T15:11:55.384808
50.820732858,-1.312632656,2018-08-29T15:11:56.387624
50.820727179,-1.312632656,2018-08-29T15:11:57.389033
